recipe_id,position,change,line,detail,reading
aloo-gobhi,0,BASELINE_NOTE_CLEARED,"russet potatoes, cut into 2-inch sticks",{'note': ''},the note only repeated the name the label already carries
aloo-gobhi,1,BASELINE_NOTE_CLEARED,"cauliflower, cut into small florets",{'note': ''},the note only repeated the name the label already carries
aloo-gobhi,5,BASELINE_NOTE_CLEARED,"yellow onion, finely diced",{'note': ''},the note only repeated the name the label already carries
aloo-gobhi,8,BASELINE_NOTE_CLEARED,"fresh ginger, julienned",{'note': ''},the note only repeated the name the label already carries
aloo-gobhi,11,BASELINE_NOTE_CLEARED,"fresh cilantro, chopped, for garnish",{'note': ''},the note only repeated the name the label already carries
bulgogi-bowls,3,BASELINE_NOTE_CLEARED,"Asian pear, finely grated",{'note': ''},the note only repeated the name the label already carries
bulgogi-bowls,4,BASELINE_NOTE_CLEARED,"garlic, finely grated",{'note': ''},the note only repeated the name the label already carries
bulgogi-bowls,5,BASELINE_NOTE_CLEARED,"ginger, finely grated",{'note': ''},the note only repeated the name the label already carries
bulgogi-bowls,19,BASELINE_NOTE_CLEARED,"carrot, peeled and julienned",{'note': ''},the note only repeated the name the label already carries
bulgogi-bowls,20,BASELINE_NOTE_CLEARED,"avocado, mashed",{'note': ''},the note only repeated the name the label already carries
bulgogi-bowls,23,BASELINE_NOTE_CLEARED,"green onion, finely sliced",{'note': ''},the note only repeated the name the label already carries
gai-yang,4,BASELINE_NOTE_CLEARED,"lemongrass, bottom half only, thinly sliced",{'note': ''},the note only repeated the name the label already carries
gai-yang,18,BASELINE_NOTE_CLEARED,"shallots, finely chopped",{'note': ''},the note only repeated the name the label already carries
gai-yang,19,BASELINE_NOTE_CLEARED,"green onion, chopped",{'note': ''},the note only repeated the name the label already carries
gai-yang,20,BASELINE_NOTE_CLEARED,"cilantro, chopped",{'note': ''},the note only repeated the name the label already carries
mussakhan,6,BASELINE_NOTE_CLEARED,"lemon, juiced",{'note': ''},the note only repeated the name the label already carries
mussakhan,7,BASELINE_NOTE_CLEARED,"garlic, crushed",{'note': ''},the note only repeated the name the label already carries
mussakhan,9,BASELINE_NOTE_CLEARED,"red onions, finely sliced into half-moons",{'note': ''},the note only repeated the name the label already carries
dan-dan-noodles,2,LINE_RESPLIT,cinnamon stick,"{'qty': '1', 'unit': '', 'label': 'cinnamon stick'}","rule 2: ed6aaf5's own phantom read as an edit. A cinnamon stick is not ground cinnamon, and the link followed the damaged name to Q28165"
kale-fennel-and-noodle-soup-rishta,5,LINE_RESPLIT,"fennel bulb, finely chopped","{'qty': '1', 'unit': '', 'label': 'fennel bulb, finely chopped'}",rule 2: same shape. The bulb is the vegetable and bare 'fennel' reaches the seed's row
panang-curry,13,LINE_RESPLIT,"coconut cream, full-fat","{'label': 'coconut cream, full-fat'}","rule 4: named in hand_repoints.csv, so the comma cleanup was held for this pass"
panang-curry,21,LINE_RESPLIT,"unsalted peanuts, finely chopped","{'label': 'unsalted peanuts, finely chopped'}","rule 4: named in hand_repoints.csv, so the comma cleanup was held for this pass"
