"⚠ PREVIEW ONLY. Nothing committed, recipes.db untouched."
""
"A uniform random 60 out of the 2,414-line AGREE block at HEAD 460cae5. AGREE means"
"the committed reduction ladder and seg0-core resolved the line to the SAME row."
"Library rebuilt fresh from join.db + sources.db: 11,357 rows, 10,527 KEPT,"
"184,891 index keys. Sample seed 20260827, drawn uniformly over the whole block."
""
"⚠ THE POINT. Both matchers query ONE index built by ONE normalizer, so they agree by"
"construction and fail together when the library ROW is wrong. The verdict below judges"
"THE ROW, not the agreement."
""
"BAND SPREAD, evidence the draw is representative:"
"   sample    HIGH 59   MEDIUM 1   LOW 0"
"   block     HIGH 58.4 MEDIUM 1.6 LOW 0.0  (expected at n=60)"
"   55 distinct recipes, 53 single-row matches, 7 ambiguous"
""
"VERDICTS: RIGHT 52   BOTH-OK-AMBIGUOUS 7   WRONG 1"
""
"note carries ⚠ where the ROW holds junk names even though this line's link is right,"
"and LOW where I am unsure of my own call."
""
"n","verdict","reason","note","confidence_band","recipe","raw_text","parsed_name","matched_phrase","coverage","rows_agreed_on","row_ids","n_rows","ladder_rung"
"1","RIGHT","the override row IS Shaoxing wine","","HIGH","1-2-3-4-5 Tofu","1 tablespoon Shaoxing wine","Shaoxing wine","shaoxing wine","1.00","Shaoxing wine","en:Shaoxing wine:noun#0","1","as-stored"
"2","RIGHT","authored 'water' row, exact","","HIGH","Acqua Pazza","water","","water","1.00","water","water","1","as-stored"
"3","RIGHT","unsalted butter, exact; the parenthetical is a prep note","","HIGH","All Butter Pie Crust","1 cup unsalted butter (cold, cut into small cubes)","unsalted butter (cold, cut into small cubes)","unsalted butter","1.00","unsalted butter","Q57312618","1","base_name"
"4","RIGHT","Parmesan, exact","⚠ the ROW also claims 'Grana Padano', a different cheese. Row hygiene, not a wrong link here.","HIGH","Baked Zucchini (Needs a Redemption)","2 tbsp parmesan, grated","parmesan, grated","parmesan","1.00","Parmesan","Q155922","1","normalize"
"5","RIGHT","white wine, exact","⚠ rule-2 row, kinds EMPTY, 120 subclasses, flagged CATEGORY-shaped. Right for a line that names the category.","HIGH","""BBQ"" Gulf Snapper","white wine","","white wine","1.00","white wine","Q10210","1","as-stored"
"6","RIGHT","soy sauce, exact","","HIGH","Beef and Pepper Stir-Fry","2 teaspoons soy sauce","soy sauce","soy sauce","1.00","soy sauce","Q229385","1","as-stored"
"7","RIGHT","dark soy sauce, exact and specific","","HIGH","Beef and Pepper Stir-Fry","1 teaspoon dark soy sauce","dark soy sauce","dark soy sauce","1.00","dark soy sauce","Q8484030","1","as-stored"
"8","RIGHT","authored 'sugar' row, exact","","HIGH","Black Pepper Chicken","sugar","","sugar","1.00","sugar","sugar","1","as-stored"
"9","RIGHT","vanilla extract, exact","","HIGH","Blueberry Muffin Sugar Cookies","1 tablespoon vanilla extract","vanilla extract","vanilla extract","1.00","vanilla extract","en:vanilla-extract","1","as-stored"
"10","RIGHT","dried basil, exact and specific","","HIGH","Chicago Style Italian Beef Pot Roast Sandwich","Dried Basil","","dried basil","1.00","dried basil","Q68497188","1","as-stored"
"11","RIGHT","dried chickpea, exact; the can alternative is a second option on the line","","HIGH","Chickpea (Falafel) Patties","2 cups dried chickpeas (or four 15-ounce cans, drained)","dried chickpeas (or four 15-ounce cans, drained)","dried chickpeas","1.00","dried chickpea","en:dried-chickpea","1","base_name"
"12","RIGHT","egg, exact","","HIGH","Cinnamon Pancakes","1 large egg","egg","egg","1.00","egg","egg","1","as-stored"
"13","RIGHT","baking powder, exact","","HIGH","Cinnamon Sugar Speculoos Squares","½ teaspoon baking powder","baking powder","baking powder","1.00","baking powder","Q29476","1","as-stored"
"14","RIGHT","beef broth, exact","","HIGH","Curry Beef","1½ cups beef broth (350 ml)","beef broth","beef broth","1.00","beef broth","en:beef-broth","1","as-stored"
"15","RIGHT","sugar, exact","","HIGH","Dubu Jorim (Braised Tofu)","1 teaspoon sugar","sugar","sugar","1.00","sugar","sugar","1","as-stored"
"16","RIGHT","cucumber, exact","⚠ the ROW carries article-title junk ('Cucumber plant defense', 'Green cum'). Hygiene, not a wrong link.","HIGH","Egg Paratha Wrap","Cucumbers","Cucumbers","cucumbers","1.00","cucumber","Q2735883","1","as-stored"
"17","RIGHT","egg, exact","","HIGH","Egg Sammies","egg","egg","egg","1.00","egg","egg","1","as-stored"
"18","RIGHT","all-purpose flour, exact","","HIGH","Falafel","2 tablespoons all-purpose flour","all-purpose flour","all purpose flour","1.00","all-purpose flour","Q95388739","1","as-stored"
"19","RIGHT","heavy cream, exact","","HIGH","Fish with White Wine Sauce","1 cup heavy cream","heavy cream","heavy cream","1.00","heavy cream","heavy-cream","1","as-stored"
"20","RIGHT","coriander SEED, and the line says seeds. The cilantro leaf row correctly stayed out.","","HIGH","Thai BBQ Chicken (Gai Yang)","2 tsp toasted coriander seeds","toasted coriander seeds","coriander seeds","1.00","coriander seed","Q20856764","1","strip-leading"
"21","RIGHT","sea salt, exact","","HIGH","Green Beans with Olive Oil (Fasolia bi Zait)","sea salt","sea salt","sea salt","1.00","sea salt","Q282694","1","as-stored"
"22","RIGHT","cinnamon, exact","","HIGH","Honey Cookies (Finikia)","2 teaspoons cinnamon","cinnamon","cinnamon","1.00","cinnamon","Q28165","1","as-stored"
"23","BOTH-OK-AMBIGUOUS","both rows are pepper: white pepper exact, peppercorn its parent","⚠ the peppercorn row also answers for 'black pepper', so the parent is over-broad.","HIGH","Hong Kong Style Shrimp Chow Mein Noodles","⅛ teaspoon white pepper","white pepper","white pepper","1.00","peppercorn | white pepper","Q3143131 | Q744814","2","as-stored"
"24","RIGHT","chickpea, exact","the line is canned and the row is generic. Granularity, not an error.","HIGH","Hummus","1 can (15 ounces) chickpeas, rinsed and drained, or 1 ½ cups cooked chickpeas","chickpeas, rinsed and drained, or 1 ½ cups cooked chickpeas","chickpeas","1.00","chickpea","Q21156930","1","normalize"
"25","RIGHT","lemon juice, exact","","HIGH","Hummus with Lemon and Green Chili Chickpeas (Hummus Musabaha)","3 tablespoons lemon juice, or to taste","lemon juice, or to taste","lemon juice","1.00","lemon juice","Q1375049","1","normalize"
"26","RIGHT","egg, exact","","HIGH","Italian Turkey Fried Meatballs","1 large egg","egg","egg","1.00","egg","egg","1","as-stored"
"27","BOTH-OK-AMBIGUOUS","cream cheese exact, fresh cheese its parent","⚠ 'fresh cheese' has 58 subclasses and is flagged as answering for 3 things en.wikipedia keeps apart.","HIGH","Key Lime Pie","2 ounces cream cheese, at room temperature","cream cheese, at room temperature","cream cheese","1.00","fresh cheese | cream cheese","Q3323634 | Q426337","2","normalize"
"28","RIGHT","heavy cream, exact","","HIGH","Key Lime Pie","227g heavy cream, chilled","heavy cream, chilled","heavy cream","1.00","heavy cream","heavy-cream","1","normalize"
