# wikibooks-categories.csv - what a Wikibooks `<X> recipes` category means.
#
# ⚠️ THE COMMITTED RECORD OF A ROUTING THAT LIVED ONLY IN A SCRATCH SCRIPT. wikibooks_reader
#    already turned `Thai recipes` into ('method', 'thai'), because that is the SHAPE the source
#    writes. Which of those values is a cuisine, which is a course and which is really a method is
#    a judgement, and it was made once in an uncommitted file. This is that judgement, written down.
#
# ⚠️ MEASURED, NOT TRANSCRIBED. Every row here is a value the corpus actually carries, counted
#    over all 3,786 usable pages: 265 distinct values, 6,837 tags. The four routing tables in the
#    scratch script were replayed over that inventory and the result frozen, so a value nobody has
#    seen cannot be in this file and a value the corpus carries cannot be missing from it.
#
# ⚠️ THREE OF THE ROUTES USED TO BE A DATABASE LOOKUP AND ARE NOW A COLUMN. `diet`, `method` and
#    `form` were decided by asking whether RecipeNLG already used the word that way. That reads as
#    reproducible and is not, since the answer moves whenever RecipeNLG is re-mined. Checked before
#    freezing: the lookup returns the same 265 answers whether it sees RecipeNLG alone or every
#    loaded source, so nothing is lost by fixing it here.
#
# keep        y if the value routes to a facet, n if it does not
# value       the category value, after the merges in merged_from
# facet       cuisine | course | appliance | diet | method | form, or empty
# maps_to     the stored value. Differs from `value` only where a course or appliance is renamed
# n_tags      how many page tags carry it
# merged_from spellings folded into this value
keep,value,facet,maps_to,n_tags,merged_from,note
y,main course,course,main course,495,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
y,vegetarian,diet,vegetarian,390,,RecipeNLG already uses it as a diet
y,baking,course,baking,337,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
y,boiled,method,boiled,321,,RecipeNLG already uses it as a method
y,vegan,diet,vegan,257,,RecipeNLG already uses it as a diet
y,baked,method,baked,245,,RecipeNLG already uses it as a method
y,side dish,course,side dish,230,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
n,inexpensive,,,197,,
y,pan fried,method,pan fried,195,,"new method value, not in RecipeNLG"
y,indian,cuisine,indian,154,,"wb_facets_proposed.json, Andy's ruling 2"
y,breakfast,course,breakfast,133,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
y,united states,cuisine,united states,132,american,"wb_facets_proposed.json, Andy's ruling 2"
y,grilled,method,grilled,123,,RecipeNLG already uses it as a method
y,italian,cuisine,italian,121,,"wb_facets_proposed.json, Andy's ruling 2"
y,appetizer,course,appetizer,121,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
y,deep fried,method,deep fried,113,,"new method value, not in RecipeNLG"
y,nigerian,cuisine,nigerian,96,national nigerian,"wb_facets_proposed.json, Andy's ruling 2"
y,gluten-free,diet,gluten-free,96,,RecipeNLG already uses it as a diet
y,african,cuisine,african,81,,"wb_facets_proposed.json, Andy's ruling 2"
y,naturally gluten-free,diet,naturally gluten-free,80,,"new diet value, not in RecipeNLG"
y,halal,diet,halal,80,,"new diet value, not in RecipeNLG"
y,fried,method,fried,77,,RecipeNLG already uses it as a method
y,dessert,course,dessert,71,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
y,french,cuisine,french,68,,"wb_facets_proposed.json, Andy's ruling 2"
n,kid-friendly,,,65,,
y,southern u.s.,cuisine,southern u.s.,65,,"wb_facets_proposed.json, Andy's ruling 2"
y,southwestern,cuisine,southwestern,51,,"wb_facets_proposed.json, Andy's ruling 2"
y,mexican,cuisine,mexican,50,,"wb_facets_proposed.json, Andy's ruling 2"
y,roasted,method,roasted,50,,RecipeNLG already uses it as a method
n,refrigerated,,,49,,
n,camping,,,46,,
y,pescatarian,diet,pescatarian,46,,"new diet value, not in RecipeNLG"
y,english,cuisine,english,45,,"wb_facets_proposed.json, Andy's ruling 2"
y,dumpling,form,dumpling,45,,RecipeNLG already uses it as a dish form
y,tex-mex,cuisine,tex-mex,41,,"wb_facets_proposed.json, Andy's ruling 2"
y,barbecue,form,barbecue,41,,RecipeNLG already uses it as a dish form
n,featured,,,40,,
y,japanese,cuisine,japanese,38,,"wb_facets_proposed.json, Andy's ruling 2"
y,marinade,form,marinade,37,,RecipeNLG already uses it as a dish form
y,thai,cuisine,thai,37,,"wb_facets_proposed.json, Andy's ruling 2"
y,ethiopian,cuisine,ethiopian,35,,"wb_facets_proposed.json, Andy's ruling 2"
y,hausa,cuisine,hausa,33,,"wb_facets_proposed.json, Andy's ruling 2"
y,middle eastern,cuisine,middle eastern,33,,"wb_facets_proposed.json, Andy's ruling 2"
y,texas,cuisine,texas,32,,"wb_facets_proposed.json, Andy's ruling 2"
y,fermented,method,fermented,30,,"new method value, not in RecipeNLG"
y,austrian,cuisine,austrian,30,,"wb_facets_proposed.json, Andy's ruling 2"
y,indonesian,cuisine,indonesian,29,,"wb_facets_proposed.json, Andy's ruling 2"
y,chinese,cuisine,chinese,29,,"wb_facets_proposed.json, Andy's ruling 2"
n,christmas,,,29,,
y,soup,form,soup,28,,RecipeNLG already uses it as a dish form
y,dal,form,dal,28,,RecipeNLG already uses it as a dish form
y,asian,cuisine,asian,27,,"wb_facets_proposed.json, Andy's ruling 2"
y,kosher,diet,kosher,26,,"new diet value, not in RecipeNLG"
y,egyptian,cuisine,egyptian,26,,"wb_facets_proposed.json, Andy's ruling 2"
y,slow cooker,appliance,slow-cooker,25,,"an appliance, not a method"
y,smoked,method,smoked,25,,RecipeNLG already uses it as a method
n,holiday,,,25,,
y,south asian,cuisine,south asian,24,,"wb_facets_proposed.json, Andy's ruling 2"
y,yoruba,cuisine,yoruba,23,,"wb_facets_proposed.json, Andy's ruling 2"
y,spanish,cuisine,spanish,23,,"wb_facets_proposed.json, Andy's ruling 2"
y,microwave,appliance,microwave,23,,"an appliance, not a method"
y,german,cuisine,german,23,,"wb_facets_proposed.json, Andy's ruling 2"
y,steamed,method,steamed,22,,RecipeNLG already uses it as a method
y,filipino,cuisine,filipino,22,,"wb_facets_proposed.json, Andy's ruling 2"
y,broiled,method,broiled,21,,RecipeNLG already uses it as a method
y,snack,course,snack,21,,"ruling 3 (dinner->main course), ruling 4 (baking is an axis)"
y,midwestern u.s.,cuisine,midwestern u.s.,21,,"wb_facets_proposed.json, Andy's ruling 2"
n,duplicate,,,21,,
