recipe_id,position,qty,old_label,old_raw,new_label,new_raw,display_before,display_after
acqua-pazza,2,2 tbsp,,extra virgin olive oil,extra virgin olive oil,2 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
acqua-pazza,3,1/4,,"red onion, sliced 1cm / 1/3″ thick","red onion, sliced 1cm / 1/3″ thick","1/4 red onion, sliced 1cm / 1/3″ thick","red onion, sliced 1cm / 1/3″ thick","red onion, sliced 1cm / 1/3″ thick"
acqua-pazza,4,1/2,,"fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium) , sliced sliced 1cm / 1/3"" thick","1/2 fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium) , sliced sliced 1cm / 1/3"" thick"
acqua-pazza,6,2,,"garlic cloves, finely minced","garlic cloves, finely minced","2 garlic cloves, finely minced","garlic cloves, finely minced","garlic cloves, finely minced"
acqua-pazza,7,15,,"red cherry tomatoes, halved","red cherry tomatoes, halved","15 red cherry tomatoes, halved","red cherry tomatoes, halved","red cherry tomatoes, halved"
acqua-pazza,8,10,,"yellow cherry tomatoes, halved (or more red)","yellow cherry tomatoes, halved (or more red)","10 yellow cherry tomatoes, halved (or more red)","yellow cherry tomatoes, halved (or more red)","yellow cherry tomatoes, halved (or more red)"
acqua-pazza,9,1 cup,,"Pinot Grigio, or other dry white wine","Pinot Grigio, or other dry white wine","1 cup Pinot Grigio, or other dry white wine","Pinot Grigio, or other dry white wine","Pinot Grigio, or other dry white wine"
acqua-pazza,10,1.5 cups,,water,water,1.5 cups water,water,water
acqua-pazza,11,1 tbsp,,"basil, finely sliced (keep stems), plus more for garnish","basil, finely sliced (keep stems), plus more for garnish","1 tbsp basil, finely sliced (keep stems), plus more for garnish","basil, finely sliced (keep stems), plus more for garnish","basil, finely sliced (keep stems), plus more for garnish"
acqua-pazza,12,1 tbsp,,"parsley, finely chopped (keep stems)","parsley, finely chopped (keep stems)","1 tbsp parsley, finely chopped (keep stems)","parsley, finely chopped (keep stems)","parsley, finely chopped (keep stems)"
acqua-pazza,14,1,,"crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick","crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick","1 crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick","crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick","crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick"
acqua-pazza,15,1/4 tsp,,salt,salt,1/4 tsp salt,salt,salt
acqua-pazza,16,1 – 2 tbsp,,extra virgin olive oil,extra virgin olive oil,1 – 2 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
acqua-pazza,17,1,,"garlic clove, halved (for rubbing)","garlic clove, halved (for rubbing)","1 garlic clove, halved (for rubbing)","garlic clove, halved (for rubbing)","garlic clove, halved (for rubbing)"
aloo-gobhi,2,3 + 2 tbsp,,"olive oil, divided","olive oil, divided","3 tablespoons + 2 tablespoons olive oil, divided","olive oil, divided","olive oil, divided"
aloo-gobhi,10,1 tsp,,"kosher salt, plus more if needed","kosher salt, plus more if needed","1 teaspoon kosher salt, plus more if needed","kosher salt, plus more if needed","kosher salt, plus more if needed"
aloo-potato-parathas,1,1 cup,,"whole wheat flour, plus more for dusting","whole wheat flour, plus more for dusting","1 cup whole wheat flour, plus more for dusting","whole wheat flour, plus more for dusting","whole wheat flour, plus more for dusting"
aloo-potato-parathas,2,½ cup,,room-temperature water,room-temperature water,½ cup room-temperature water,room-temperature water,room-temperature water
aloo-potato-parathas,3,¼ teaspoon,,vegetable oil,vegetable oil,¼ teaspoon vegetable oil,vegetable oil,vegetable oil
aloo-potato-parathas,4,¼ teaspoon,,kosher salt,kosher salt,¼ teaspoon kosher salt,kosher salt,kosher salt
aloo-potato-parathas,7,¼ teaspoon,,red chile powder,red chile powder,¼ teaspoon red chile powder,red chile powder,red chile powder
aloo-potato-parathas,8,3¾ teaspoon,,"fennel seeds, crushed into a powder","fennel seeds, crushed into a powder","3¾ teaspoon fennel seeds, crushed into a powder","fennel seeds, crushed into a powder","fennel seeds, crushed into a powder"
aloo-potato-parathas,9,2 tablespoons,,chopped fresh cilantro (stems and leaves),chopped fresh cilantro (stems and leaves),2 tablespoons chopped fresh cilantro (stems and leaves),chopped fresh cilantro (stems and leaves),chopped fresh cilantro (stems and leaves)
aloo-potato-parathas,10,½ teaspoon,,kosher salt,kosher salt,½ teaspoon kosher salt,kosher salt,kosher salt
aloo-potato-parathas,11,¼ cup,,"vegetable oil, for basting the paratha","vegetable oil, for basting the paratha","¼ cup vegetable oil, for basting the paratha","vegetable oil, for basting the paratha","vegetable oil, for basting the paratha"
arkansas-style-cheese-dip,1,1 tablespoon,,olive oil,olive oil,1 tablespoon olive oil,olive oil,olive oil
arkansas-style-cheese-dip,3,1,,"jalapeño, seeded and chopped","jalapeño, seeded and chopped","1 jalapeño, seeded and chopped","jalapeño, seeded and chopped","jalapeño, seeded and chopped"
arkansas-style-cheese-dip,5,¼ teaspoon,,dried oregano,dried oregano,¼ teaspoon dried oregano,dried oregano,dried oregano
arkansas-style-cheese-dip,8,¾ cup,,"fresh cilantro (from about /2 bunch), roughly chopped","fresh cilantro (from about /2 bunch), roughly chopped","¾ cup fresh cilantro (from about /2 bunch), roughly chopped","fresh cilantro (from about /2 bunch), roughly chopped","fresh cilantro (from about /2 bunch), roughly chopped"
arkansas-style-cheese-dip,10,2 tablespoons,,unsalted butter,unsalted butter,2 tablespoons unsalted butter,unsalted butter,unsalted butter
arkansas-style-cheese-dip,11,2 tablespoons,,all-purpose flour,all-purpose flour,2 tablespoons all-purpose flour,all-purpose flour,all-purpose flour
arkansas-style-cheese-dip,12,1 tablespoon,,paprika,paprika,1 tablespoon paprika,paprika,paprika
arkansas-style-cheese-dip,13,1 teaspoon,,chili powder,chili powder,1 teaspoon chili powder,chili powder,chili powder
arkansas-style-cheese-dip,14,1 teaspoon,,freshly ground toasted cumin seeds,freshly ground toasted cumin seeds,1 teaspoon freshly ground toasted cumin seeds,freshly ground toasted cumin seeds,freshly ground toasted cumin seeds
arkansas-style-cheese-dip,15,½ teaspoon,,cayenne pepper,cayenne pepper,½ teaspoon cayenne pepper,cayenne pepper,cayenne pepper
arkansas-style-cheese-dip,16,1 can,,evaporated milk,evaporated milk,1 (12-ounce) can evaporated milk,evaporated milk,evaporated milk
arkansas-style-cheese-dip,17,1 ½ cups,,whole milk,whole milk,1 ½ cups whole milk,whole milk,whole milk
arkansas-style-cheese-dip,18,1 pound,,grated cheese,grated cheese,1 pound grated cheese,grated cheese,grated cheese
arkansas-style-cheese-dip,21,2,,"limes, cut into wedges, for serving","limes, cut into wedges, for serving","2 limes, cut into wedges, for serving","limes, cut into wedges, for serving","limes, cut into wedges, for serving"
asparagus-with-eggs-and-za-atar-halayone-w-bayd,0,2 tbsp,,olive oil or any neutral oil,olive oil or any neutral oil,2 tablespoons olive oil or any neutral oil,olive oil or any neutral oil,olive oil or any neutral oil
asparagus-with-eggs-and-za-atar-halayone-w-bayd,1,2,,"banana shallots (about 2 oz/70g total prepared weight), finely chopped","banana shallots (about 2 oz/70g total prepared weight), finely chopped","2 banana shallots (about 2 oz/70g total prepared weight), finely chopped","banana shallots (about 2 oz/70g total prepared weight), finely chopped","banana shallots (about 2 oz/70g total prepared weight), finely chopped"
asparagus-with-eggs-and-za-atar-halayone-w-bayd,2,1,,"garlic clove, crushed","garlic clove, crushed","1 garlic clove, crushed","garlic clove, crushed","garlic clove, crushed"
asparagus-with-eggs-and-za-atar-halayone-w-bayd,3,8 oz,,"asparagus, chopped into ¾ in/2cm pieces","asparagus, chopped into ¾ in/2cm pieces","8 oz/250g asparagus, chopped into ¾ in/2cm pieces","asparagus, chopped into ¾ in/2cm pieces","asparagus, chopped into ¾ in/2cm pieces"
asparagus-with-eggs-and-za-atar-halayone-w-bayd,6,5,,eggs,eggs,5 eggs,eggs,eggs
asparagus-with-eggs-and-za-atar-halayone-w-bayd,7,2 tsp,,za'atar,za'atar,2 teaspoons za'atar,za'atar,za'atar
baked-tofu,0,1,,"(14- to 16-ounce) package firm or extra-firm tofu, drained","(14- to 16-ounce) package firm or extra-firm tofu, drained","1 (14- to 16-ounce) package firm or extra-firm tofu, drained","(14- to 16-ounce) package firm or extra-firm tofu, drained","(14- to 16-ounce) package firm or extra-firm tofu, drained"
baked-tofu,1,2 tbsp,,reduced-sodium soy sauce,reduced-sodium soy sauce,2 tablespoons reduced-sodium soy sauce,reduced-sodium soy sauce,reduced-sodium soy sauce
baked-tofu,2,1 tbsp,,vegetable oil,vegetable oil,"1 tablespoon vegetable oil, plus more for baking sheet",vegetable oil,vegetable oil
baked-tofu,3,1 tsp,,garlic powder,garlic powder,½ teaspoon garlic powder,garlic powder,garlic powder
baked-tofu,4,1 tsp,,onion powder,onion powder,½ teaspoon onion powder,onion powder,onion powder
baked-tofu,5,2 tbsp,,cornstarch,cornstarch,3 tablespoons cornstarch,cornstarch,cornstarch
basic-dal,1,1 cup,,"masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","1 cup masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)","masoor dal (also known as split and dehusked pink lentils, red lentils, or dhuli masoor)"
basic-dal,2,1 tsp,,ground turmeric,ground turmeric,1 teaspoon ground turmeric,ground turmeric,ground turmeric
basic-dal,3,1 tsp,,kosher salt,kosher salt,1 teaspoon kosher salt,kosher salt,kosher salt
basic-dal,4,2 tbsp,,fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime),2 tablespoons fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime)
basic-dal,6,2 tbsp,,ghee or olive oil,ghee or olive oil,2 tablespoons ghee or olive oil,ghee or olive oil,ghee or olive oil
basic-dal,7,2 tsp,,cumin seeds,cumin seeds,2 teaspoons cumin seeds,cumin seeds,cumin seeds
basic-dal,8,2,,dried red chiles,dried red chiles,2 dried red chiles,dried red chiles,dried red chiles
basic-dal,9,pinch,,red chile powder,red chile powder,Pinch of red chile powder,red chile powder,red chile powder
basic-dal,10,pinch,,"asafetida (optional, but really great)","asafetida (optional, but really great)","Pinch of asafetida (optional, but really great)","asafetida (optional, but really great)","asafetida (optional, but really great)"
basic-dal,11,½ cup,,"chopped fresh cilantro (stems and leaves), for garnish","chopped fresh cilantro (stems and leaves), for garnish","½ cup chopped fresh cilantro (stems and leaves), for garnish","chopped fresh cilantro (stems and leaves), for garnish","chopped fresh cilantro (stems and leaves), for garnish"
basic-hummus,0,14 cups,,dried chickpeas,dried chickpeas,14 cups (250g) dried chickpeas,dried chickpeas,dried chickpeas
basic-hummus,1,1 tsp,,baking soda,baking soda,1 teaspoon baking soda,baking soda,baking soda
basic-hummus,2,6½ cups,,water,water,6½ cups (1.5L) water,water,water
basic-hummus,4,¼ cup,,fresh lemon juice,fresh lemon juice,¼ cup (60ml) fresh lemon juice,fresh lemon juice,fresh lemon juice
basic-hummus,6,6½ tbsp,,ice cold water,ice cold water,6½ tablespoons (100ml) ice cold water,ice cold water,ice cold water
bbq-gulf-snapper,0,2,,"small skin-on boneless snapper fillets, 10 to 12 ounces each","small skin-on boneless snapper fillets, 10 to 12 ounces each","2 small skin-on boneless snapper fillets, 10 to 12 ounces each 2 teaspoons kosher salt, plus more for the sauce","small skin-on boneless snapper fillets, 10 to 12 ounces each","small skin-on boneless snapper fillets, 10 to 12 ounces each"
bbq-gulf-snapper,2,2 tbsp,,unsalted butter,unsalted butter,2 tablespoons unsalted butter,unsalted butter,unsalted butter
bbq-gulf-snapper,3,3 tbsp,,olive oil,olive oil,3 tablespoons olive oil,olive oil,olive oil
bbq-gulf-snapper,4,5 sprigs,,"fresh thyme, plus more for garnish","fresh thyme, plus more for garnish","5 sprigs fresh thyme, plus more for garnish","fresh thyme, plus more for garnish","fresh thyme, plus more for garnish"
bbq-gulf-snapper,5,1,,"baguette, for serving","baguette, for serving","1 baguette, for serving","baguette, for serving","baguette, for serving"
bbq-gulf-snapper,6,3 tbsp,,fresh lemon juice,fresh lemon juice,3 tablespoons fresh lemon juice,fresh lemon juice,fresh lemon juice
bbq-gulf-snapper,7,¼ cup,,white wine,white wine,¼ cup white wine,white wine,white wine
bbq-gulf-snapper,8,3 tbsp,,Worcestershire sauce,Worcestershire sauce,3 tablespoons Worcestershire sauce,Worcestershire sauce,Worcestershire sauce
bbq-gulf-snapper,9,3 tbsp,,finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley,3 tablespoons finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley
black-pepper-chicken,1,12 oz,,boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs),12 ounces boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs)
black-pepper-chicken,2,3 tbsp,,water,water,3 tablespoons water,water,water
black-pepper-chicken,3,1 tsp,,cornstarch,cornstarch,1 teaspoon cornstarch,cornstarch,cornstarch
black-pepper-chicken,4,1 tsp,,"neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)","1 teaspoon neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)"
black-pepper-chicken,5,2 tsp,,oyster sauce,oyster sauce,2 teaspoons oyster sauce,oyster sauce,oyster sauce
black-pepper-chicken,6,1/2 tsp,,coarsely ground black pepper,coarsely ground black pepper,1/2 teaspoon coarsely ground black pepper,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,8,1/2 cup,,low sodium chicken stock,low sodium chicken stock,1/2 cup low sodium chicken stock,low sodium chicken stock,low sodium chicken stock
black-pepper-chicken,9,1 tbsp,,oyster sauce,oyster sauce,1 tablespoon oyster sauce,oyster sauce,oyster sauce
black-pepper-chicken,10,1 tbsp,,light soy sauce,light soy sauce,1 tablespoon light soy sauce,light soy sauce,light soy sauce
black-pepper-chicken,11,1 tsp,,sugar,sugar,1 teaspoon sugar,sugar,sugar
black-pepper-chicken,12,2 tsp,,dark soy sauce,dark soy sauce,2 teaspoons dark soy sauce,dark soy sauce,dark soy sauce
black-pepper-chicken,13,1/2 tsp,,sesame oil,sesame oil,1/2 teaspoon sesame oil,sesame oil,sesame oil
black-pepper-chicken,14,3 tbsp,,neutral oil (divided),neutral oil (divided),3 tablespoons neutral oil (divided),neutral oil (divided),neutral oil (divided)
black-pepper-chicken,15,2 cloves,,garlic (finely chopped),garlic (finely chopped),2 cloves garlic (finely chopped),garlic (finely chopped),garlic (finely chopped)
black-pepper-chicken,16,1 medium,,onion (cut into wedges),onion (cut into wedges),1 medium onion (cut into wedges),onion (cut into wedges),onion (cut into wedges)
