name,n_seen,generic_in_catalog,source_bucket,why
pecans,11368,,CATALOG GAP,no catalog home under any name
hamburger,3367,,CATALOG GAP,no catalog home under any name
salad oil,2330,oil,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
all purpose,1960,,CATALOG GAP,no catalog home under any name
water chestnuts,1737,,CATALOG GAP,no catalog home under any name
pimento,1561,,CATALOG GAP,no catalog home under any name
parsley flakes,1383,,CATALOG GAP,no catalog home under any name
whole kernel corn,1325,,CATALOG GAP,no catalog home under any name
american cheese,1286,cheese,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
vanilla wafers,1064,,CATALOG GAP,no catalog home under any name
almond extract,1062,extract,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
ginger ale,1045,,CATALOG GAP,no catalog home under any name
dill weed,1030,,CATALOG GAP,no catalog home under any name
cracker crumbs,963,,CATALOG GAP,no catalog home under any name
spaghetti sauce,956,sauce,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
yellow cake,939,,CATALOG GAP,no catalog home under any name
lean ground beef,919,ground beef,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
ground chuck,905,,CATALOG GAP,no catalog home under any name
pimentos,889,,CATALOG GAP,no catalog home under any name
cherries,801,,CATALOG GAP,no catalog home under any name
fresh mushrooms,786,,CATALOG GAP,no catalog home under any name
flour tortillas,786,,CATALOG GAP,no catalog home under any name
fruit cocktail,771,,CATALOG GAP,no catalog home under any name
condensed cream,712,cream,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
vanilla flavoring,701,flavoring,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
egg noodles,701,,CATALOG GAP,no catalog home under any name
pie shell,698,,CATALOG GAP,no catalog home under any name
chocolate cake,694,,CATALOG GAP,no catalog home under any name
elbow macaroni,644,macaroni,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
crab meat,644,meat,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
italian seasoning,643,,CATALOG GAP,no catalog home under any name
cream style corn,629,,CATALOG GAP,no catalog home under any name
mixed vegetables,623,,CATALOG GAP,no catalog home under any name
onion salt,614,salt,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
lasagna noodles,614,,CATALOG GAP,no catalog home under any name
mayo,607,,CATALOG GAP,no catalog home under any name
potato chips,591,,CATALOG GAP,no catalog home under any name
worcestershire,589,,CATALOG GAP,no catalog home under any name
taco,584,,CATALOG GAP,no catalog home under any name
lemon rind,570,,CATALOG GAP,no catalog home under any name
pecan halves,564,,CATALOG GAP,no catalog home under any name
pretzels,552,,CATALOG GAP,no catalog home under any name
tortilla chips,548,,CATALOG GAP,no catalog home under any name
poultry seasoning,541,,CATALOG GAP,no catalog home under any name
pork sausage,534,sausage,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
cream style,531,,CATALOG GAP,no catalog home under any name
picante sauce,527,sauce,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
butterscotch chips,522,,CATALOG GAP,no catalog home under any name
crabmeat,513,,CATALOG GAP,no catalog home under any name
marshmallow cream,492,cream,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
taco sauce,481,sauce,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
caramels,476,,CATALOG GAP,no catalog home under any name
pastry shell,430,,CATALOG GAP,no catalog home under any name
fryer,428,,CATALOG GAP,no catalog home under any name
orange rind,417,,CATALOG GAP,no catalog home under any name
candied cherries,404,,CATALOG GAP,no catalog home under any name
bacon bits,401,,CATALOG GAP,no catalog home under any name
frozen hash browns,397,,CATALOG GAP,no catalog home under any name
marshmallow creme,372,,CATALOG GAP,no catalog home under any name
pecan,369,,CATALOG GAP,no catalog home under any name
chicken stock,357,stock,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
baking potatoes,351,,CATALOG GAP,no catalog home under any name
corn muffin,341,,CATALOG GAP,no catalog home under any name
enchilada sauce,331,sauce,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
regular,325,,CATALOG GAP,no catalog home under any name
corn chips,324,,CATALOG GAP,no catalog home under any name
chicken bouillon cubes,321,,CATALOG GAP,no catalog home under any name
apple cider,311,cider,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
pineapple tidbits,310,,CATALOG GAP,no catalog home under any name
caraway seed,304,seed,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
lemon flavoring,303,flavoring,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
cranberry juice,301,juice,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
shredded monterey jack cheese,300,cheese,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
butter beans,297,,CATALOG GAP,no catalog home under any name
hamburg,297,,CATALOG GAP,no catalog home under any name
beef bouillon,296,bouillon,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
angel,294,,CATALOG GAP,no catalog home under any name
veg all,289,,CATALOG GAP,no catalog home under any name
corn bread,286,bread,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
paraffin,283,,CATALOG GAP,no catalog home under any name
almond flavoring,282,flavoring,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
pepper sauce,281,sauce,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
cayenne,278,,CATALOG GAP,no catalog home under any name
tater,273,,CATALOG GAP,no catalog home under any name
cooking oats,267,oats,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
semisweet chocolate morsels,264,,CATALOG GAP,no catalog home under any name
cream of chicken,260,chicken,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
frozen whipped topping,256,topping,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
chicken bouillon,255,bouillon,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
chili beans,251,,CATALOG GAP,no catalog home under any name
candied pineapple,249,pineapple,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
buns,246,,CATALOG GAP,no catalog home under any name
frozen hash brown potatoes,242,,CATALOG GAP,no catalog home under any name
buttered bread crumbs,240,,CATALOG GAP,no catalog home under any name
slivered almonds,239,,CATALOG GAP,no catalog home under any name
cream of mushroom,239,,CATALOG GAP,no catalog home under any name
apricot preserves,238,,CATALOG GAP,no catalog home under any name
white cake,236,,CATALOG GAP,no catalog home under any name
broccoli flowerets,224,,CATALOG GAP,no catalog home under any name
pimientos,219,,CATALOG GAP,no catalog home under any name
chunky peanut butter,211,peanut butter,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
vegetable cooking spray,210,cooking spray,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
stew meat,207,meat,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
hash browns,205,,CATALOG GAP,no catalog home under any name
club soda,203,,CATALOG GAP,no catalog home under any name
pie shells,203,,CATALOG GAP,no catalog home under any name
hot pepper sauce,201,sauce,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
+,199,,CATALOG GAP,no catalog home under any name
bourbon,198,,CATALOG GAP,no catalog home under any name
alum,197,,CATALOG GAP,no catalog home under any name
italian bread crumbs,194,,CATALOG GAP,no catalog home under any name
oyster crackers,194,,CATALOG GAP,no catalog home under any name
rolls,193,,CATALOG GAP,no catalog home under any name
purple onion,191,onion,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
ground round,189,,CATALOG GAP,no catalog home under any name
angel food cake,189,,CATALOG GAP,no catalog home under any name
kernel corn,187,,CATALOG GAP,no catalog home under any name
orange sherbet,182,,CATALOG GAP,no catalog home under any name
bacon drippings,180,,CATALOG GAP,no catalog home under any name
mein noodles,179,,CATALOG GAP,no catalog home under any name
chuck roast,176,roast,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
grape jelly,175,jelly,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
longhorn cheese,174,cheese,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
layer,172,,CATALOG GAP,no catalog home under any name
yellow corn meal,172,,CATALOG GAP,no catalog home under any name
muffins,170,,CATALOG GAP,no catalog home under any name
pickling spice,169,spice,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
apricot nectar,169,,CATALOG GAP,no catalog home under any name
tart apples,167,,CATALOG GAP,no catalog home under any name
beef consomme,164,,CATALOG GAP,no catalog home under any name
bulk sausage,162,sausage,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
dill pickles,161,,CATALOG GAP,no catalog home under any name
shell macaroni,158,macaroni,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
garbanzo beans,157,,CATALOG GAP,no catalog home under any name
cooking sherry,152,sherry,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
mushroom stems,152,,CATALOG GAP,no catalog home under any name
chocolate bits,151,,CATALOG GAP,no catalog home under any name
regular rice,149,rice,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
frozen lemonade concentrate,147,concentrate,MODIFIER STRIP,"was miscategorized as strippable, it is a specific the catalog lacks"
english peas,146,,CATALOG GAP,no catalog home under any name
n,145,,CATALOG GAP,no catalog home under any name
egg substitute,145,,CATALOG GAP,no catalog home under any name
frozen mixed vegetables,141,,CATALOG GAP,no catalog home under any name
butterscotch morsels,141,,CATALOG GAP,no catalog home under any name
