# hand_links.csv - the category vocabulary and the relation edges, authored.
#
# ⚠️ THE FOURTH HAND FILE, and the DURABLE source for library_categories and library_relations.
#    Everything else in the catalog is replayed from a hand file on every build, and an edge
#    stored only in recipes.db would be orphaned by the next fold with nothing to notice.
#
# ⚠️ THIS TABLE HOLDS ONLY FILTER CATEGORIES, terms that are NOT catalog rows. A kind_of parent
#    IS a catalog row and needs no entry here, so a kind_of edge points at a library_id and an
#    in_category edge points at a slug below. 'Is X a kind_of parent' is derived, not stored.
#
# ⚠️ FORMS INHERIT. garlic powder is made_from garlic, which is an allium, so it reaches the
#    category through its parent. A direct edge would be the almond-flour error one layer up.
#
# Spec: previews/category-vocabulary-final.md
#
# --- section: categories ---
category_id,name,parent_slug,note
alcohol,alcohol,,
allium,allium,,"NEW this pass. 9 direct members, 204 recipe lines. Its members were misfiled under 'root vegetable'."
almond,almond,,promoted from a kind_of row-parent so its specifics are browsable
apple,apple,,promoted from a kind_of row-parent so its specifics are browsable
apple-juice,apple juice,juice,promoted from a kind_of row-parent so its specifics are browsable
apricot,apricot,,promoted from a kind_of row-parent so its specifics are browsable
avocado,avocado,,promoted from a kind_of row-parent so its specifics are browsable
bacon,bacon,,promoted from a kind_of row-parent so its specifics are browsable
banana,banana,,promoted from a kind_of row-parent so its specifics are browsable
barley,barley,,promoted from a kind_of row-parent so its specifics are browsable
basil,basil,,promoted from a kind_of row-parent so its specifics are browsable
bean,bean,,
beef,beef,,promoted from a kind_of row-parent so its specifics are browsable
bell-pepper,bell pepper,pepper,a sub-family nested under its family
berry,berry,,promoted from a kind_of row-parent so its specifics are browsable
berry-juice,berry juice,,
bird-egg,bird egg,egg,promoted from a kind_of row-parent so its specifics are browsable
black-tea,black tea,,
blue-cheese,blue cheese,,
brandy,brandy,,
bread,bread,,
breadcrumbs,breadcrumbs,,promoted from a kind_of row-parent so its specifics are browsable
brined-cheese,brined cheese,cheese,promoted from a kind_of row-parent so its specifics are browsable
buckwheat-seed,buckwheat seed,seed,promoted from a kind_of row-parent so its specifics are browsable
butter,butter,,promoted from a kind_of row-parent so its specifics are browsable
cabbage,cabbage,,promoted from a kind_of row-parent so its specifics are browsable
cane-sugar,cane sugar,sugar,promoted from a kind_of row-parent so its specifics are browsable
carrot,carrot,,promoted from a kind_of row-parent so its specifics are browsable
celery,celery,,promoted from a kind_of row-parent so its specifics are browsable
cereal,cereal,,
cereal-flakes,cereal flakes,,
cheddar-cheese,Cheddar cheese,cheese,a sub-family nested under its family
cheese,cheese,,
chestnut,chestnut,,promoted from a kind_of row-parent so its specifics are browsable
chicken,chicken,,promoted from a kind_of row-parent so its specifics are browsable
chicken-egg,chicken egg,egg,promoted from a kind_of row-parent so its specifics are browsable
chickpea,chickpea,,
chili-pepper,chili pepper,,promoted from kind_of parent to filter category. A cook browses chilies.
chocolate,chocolate,,
chocolate-chip,chocolate chip,,promoted from a kind_of row-parent so its specifics are browsable
chutney,chutney,,
citrus-fruit,citrus fruit,,'Citrus' and 'citrus fruit' were the same category twice and are merged here.
clam,clam,,promoted from a kind_of row-parent so its specifics are browsable
cocoa,cocoa,,
cocoa-powder,cocoa powder,,promoted from a kind_of row-parent so its specifics are browsable
coconut,coconut,,promoted from a kind_of row-parent so its specifics are browsable
coffee,coffee,,promoted from a kind_of row-parent so its specifics are browsable
