# authored_rows.csv — rows Andy authored, read by build_library.py on every build.
#
# ⚠️ THE MIRROR OF hand_removals.csv. One file for what comes out, one for what goes in.
#
# ⚠️ AN AUTHORED ROW IS A CLAIM ABOUT THE WORLD, NOT ABOUT A SOURCE. Every other row in
#    the library traces to a fetch: Wikidata, Open Food Facts or Wiktionary made it an
#    entry and the pipeline copied it. These rows exist because the thing exists and no
#    source we hold has it. Under docs/sourcing-tiers.md they ship GENERATED until
#    someone traces them, which is what the sources column is for.
#
# ⚠️ anchor IS EMPTY AND STAYS EMPTY. An earlier draft wrote anchor="authored", which
#    reads as a fourth source and is not one. There is no fetch behind it, no entry_id
#    to check, nothing to re-derive on a rebuild. "No source made this an entry" is
#    stated, not disguised. The sheet renders it as "authored by hand, no source".
#
# id       a slug of the name, and ⚠️ THE ONLY IDENTIFIER IN THE PIPELINE THAT NOTHING
#          EXTERNAL CAN CONFIRM. It has to stay stable across rebuilds or every hand
#          removal keyed to it dangles. Change a name, keep the id.
#          The hand-removal key is ("", <id>), since anchor is empty.
# name     the canonical. What a cook writes.
# reason   ⚠️ REQUIRED. A row with no reason is rejected by the build, the same rule as
#          ingredient_cuts.OVERRIDES and hand_removals.csv.
#          ⚠️ CARRY THE MEASUREMENT HERE where it is known. "52 recipe lines, 32
#             dependents" is why the row exists, and nothing else records it: the
#             library has no field for "is a specific of", so the relationship these
#             rows are general to lives in this sentence until something models it.
# added    the date, so a GENERATED claim carries its age.
# sources  optional, usually empty at creation. Filling it is the promotion path from
#          GENERATED to CURATED. Semicolon-separated. ⚠️ IGNORED ON A SEEDED ROW, which
#          computes its sources from the tags its names actually carry.
# seed     optional. Semicolon-separated names or Q-numbers. ⚠️ THE COLUMN THAT MAKES
#          EXTRACTION POSSIBLE. A row with no seed carries one name and no provenance,
#          which is right for 'salt' and wrong for a member read out of a category.
#          Seeding pulls in every name the named buckets carry, each with the source,
#          field and language that supplied it, exactly as ingredient_cuts.OVERRIDES does.
#          ⚠️ A SEED NAMES ONE CONCEPT AND USUALLY TAKES SEVERAL TOKENS TO DO IT.
#             Measured on fortified wine: 15 candidate names, 5 concepts, so about three
#             names per concept. Port, port, Porto, Port wine, Port Wine (DOC) and Vinho
#             do Porto are one thing spelled six ways and belong in ONE seed, not six
#             rows. Grouping the names into concepts is the reading, and it happens
#             before anything is written here.
#          The six rows below are UNSEEDED on purpose: they are general terms the corpus
#          needed a home for, not members read out of anything.
#
# ⚠️ These six are FLAT. Nothing records that 'kosher salt' is a specific of 'salt'.
#    That relationship is real and is deliberately not built yet: honey with 37 varietal
#    children and sesame oil with 4 distinct products are different relationships, and
#    nothing measured separates them. Building the link now means building it twice.
id,name,reason,added,sources,seed
salt,salt,"52 recipe lines and 32 dependents in the library, and no row of its own. A line saying salt currently reaches table salt or sea salt, which is the wrong specific rather than the general thing.",2026-08-24,,
sugar,sugar,"44 recipe lines, the second-heaviest term in the corpus, and 33 dependents. Held today by 'sugar product', which Wikidata describes as a sucrose umbrella, and by 'egg yolk'.",2026-08-24,,
water,water,"33 recipe lines and 13 dependents. ⚠️ Held today by 'cabbage'. The most common substance in the corpus and the library has no row for it at all.",2026-08-24,,
egg,egg,"33 recipe lines across 'egg' and 'eggs', and 42 dependents. Held today by 'bacon', 'chicken egg' and 'meat'. 'egg as food' exists and is the nearest thing, but it is Wikidata's phrasing for the foodstuff, not the word a recipe writes.",2026-08-24,,
oil,oil,"11 recipe lines and 115 dependents, the largest dependent count in the library. Held today by 'cooking oil'.",2026-08-24,,
pepper,pepper,"10 recipe lines and 40 dependents. ⚠️ Held today by 'bell pepper' and 'peppercorn', which are two different plants, so the bare word currently resolves to whichever wins the lookup.",2026-08-24,,
heavy-cream,heavy cream,"7 recipe lines and no row of its own. Held today by 'cream', so a line saying heavy cream reaches the general dairy category rather than the 36 percent product a US recipe means. EXTRACTED from the cream row on 2026-08-25: 28 English names on it group to 11 concepts, and this is the only concept that is an ingredient carrying recipe lines. The seed names the two Open Food Facts entries rather than the bucket, because the bucket also holds en.wikipedia's redirect of 'Heavy cream' at the Cream article and would drag the parent concept back onto the child row.",2026-08-25,,off_taxonomy:en:heavy-cream;off_taxonomy:376
wild-garlic,wild garlic,"EXTRACTED from the Allium sativum row on 2026-08-25. ⚠️ A DIFFERENT SPECIES, not a variety. Allium ursinum is a woodland plant with broad leaves and no bulb worth using, and Allium sativum is the garlic anyone buys. Nine names on the garlic row were this plant: wild garlic, Allium ursinum, bear leek, bear's garlic, broad-leaved garlic, buckrams, ramsons, ramsons garlic and ransoms. Zero recipe lines reach it today. It is here because a line saying ramsons would otherwise land on garlic, which is the fortified wine failure with a real plant on each side.",2026-08-25,,off_taxonomy:en:wild-garlic;off_taxonomy:3876;wikidata:Q130882;agrovoc:c_7c17919f;agrovoc:c_71548f5f;wikipedia_redirect:477011
ceylon-cinnamon,Ceylon cinnamon,"EXTRACTED from the cinnamon row on 2026-08-25. Cinnamomum verum, the thin brittle bark that rolls into fragile quills, milder and sweeter than what a US supermarket sells as cinnamon. Grouped from ceylon cinnamon, Cinnamomum verum, Cinnamomum zeylanicum and Cannelle de Ceylan, which are one concept in four names. ⚠️ The seed names entries rather than the bucket, because the bucket also holds Wikidata Q28165, which is cinnamon itself at 253 names.",2026-08-25,,off_taxonomy:en:ceylon-cinnamon;off_taxonomy:4735;agrovoc:c_1626
cassia,cassia,"EXTRACTED from the cinnamon row on 2026-08-25. Cinnamomum cassia, thick hard bark with a hotter and more one-note flavor, and ⚠️ THE THING A US RECIPE ALMOST CERTAINLY MEANS BY CINNAMON. Grouped from cassia, Cinnamomum cassia, Cinnamomum aromaticum and chinese cinnamon, one concept in four names. ⚠️ TWO ENTRIES IN THE cassia BUCKET ARE NOT THIS. Wikidata Q7370926 is Rougui tea, a Chinese oolong, and AGROVOC c_1363 is the legume genus Cassia, which its Chinese label gives away as the golden shower tree. Neither is seeded.",2026-08-25,,off_taxonomy:en:cassia;off_taxonomy:4734;agrovoc:c_37643;wiktextract:en:cassia:noun#0
indonesian-cinnamon,Indonesian cinnamon,"EXTRACTED from the cinnamon row on 2026-08-25. Cinnamomum burmannii, the third bark sold as cinnamon and the commonest one in US ground cinnamon. Grouped from Cinnamomum burmannii, Cinnamomum burmanni and Indonesian cinnamon. Zero recipe lines, and it is here because the cinnamon row was answering for three species at once.",2026-08-25,,agrovoc:c_1622
halva,halva,"EXTRACTED from the tehina row on 2026-08-25. A dense sesame confection set with sugar syrup, not a sesame paste, and about fifteen names for it were sitting on the tahini row: halva, halvah, halava, halawa, haleweh, halvaa, helva, helava, khalva, aluva. A line saying halva reached tahini, which is the ingredient it is made from rather than the thing itself.",2026-08-25,,wikidata:Q183599;wikipedia_redirect:182802;wiktextract:en:halva:noun#0
bread,bread,"EXTRACTED from the cereal and roti rows on 2026-08-25. ⚠️ 4 RECIPE LINES SAY BREAD AND THE LIBRARY HAD NO ROW FOR IT, so a line saying bread reached either the grain crop or an Indian flatbread depending on which won the lookup. The commonest food in the corpus without a row of its own, and the biggest wrong answer found since eggs.",2026-08-25,,wikidata:Q7802;off_taxonomy:en:bread;off_taxonomy:6377;agrovoc:c_1071;wikipedia_redirect:36969;wiktextract:en:bread:noun#1
